index,station_origin,station_destination,flows,population,jobs,distance
1,Abbey Road,Bank and Monument,0,599,78549,8131.525097
2,Abbey Road,Beckton,1,599,442,8510.121774
3,Abbey Road,Blackwall,3,599,665,3775.448872
4,Abbey Road,Canary Wharf,1,599,58772,5086.51422
5,Abbey Road,Canning Town,37,599,15428,2228.923167
6,Abbey Road,Crossharbour,1,599,1208,6686.47556
7,Abbey Road,Custom House,0,599,845,3824.85563
8,Abbey Road,Cutty Sark,2,599,1748,8503.898909
9,Abbey Road,Cyprus,7,599,850,6532.099618
10,Abbey Road,Devons Road,1,599,611,3958.324171
11,Abbey Road,East India,2,599,1522,3384.141666
12,Abbey Road,Island Gardens,2,599,691,7706.29637
13,Abbey Road,King George V,5,599,800,6806.021039
14,Abbey Road,Langdon Park,8,599,1989,4810.672967
15,Abbey Road,Lewisham,0,599,2400,11213.45149
16,Abbey Road,Limehouse,2,599,2969,6154.537881
17,Abbey Road,London City Airport,4,599,1941,5777.444148
18,Abbey Road,Pontoon Dock,8,599,1123,4636.094118
19,Abbey Road,Poplar,0,599,1301,4498.40743
20,Abbey Road,Prince Regent,1,599,754,4349.342509
21,Abbey Road,Royal Albert,4,599,684,5237.762991
22,Abbey Road,Shadwell,1,599,7447,6583.570466
23,Abbey Road,South Quay,7,599,4591,6089.728056
24,Abbey Road,Star Lane,7,599,1052,1397.494085
25,Abbey Road,Stratford,285,599,55954,1174.511375
26,Abbey Road,Stratford High Street,10,599,788,655.2113013
27,Abbey Road,Stratford International,33,599,1546,2495.579492
28,Abbey Road,West Ham,130,599,5487,533.8424217
29,Abbey Road,West Silvertown,2,599,893,3880.048228
30,Abbey Road,Westferry,3,599,1250,5180.920874
31,Abbey Road,Woolwich Arsenal,32,599,4428,9235.296782
32,Acton Central,Barking,0,1224,7004,28856.33687
33,Acton Central,Blackhorse Road,0,1224,2955,19050.02049
34,Acton Central,Brondesbury,76,1224,712,6439.433521
35,Acton Central,Brondesbury Park,31,1224,895,5697.24485
36,Acton Central,Bushey,0,1224,456,20277.67372
37,Acton Central,Caledonian Road & Barnsbury,22,1224,1668,14032.3987
38,Acton Central,Camden Road,52,1224,3784,12267.82041
39,Acton Central,Canada Water,0,1224,20443,19290.44203
40,Acton Central,Canonbury,3,1224,846,15827.10849
41,Acton Central,Carpenders Park,0,1224,340,18314.69525
42,Acton Central,Crouch Hill,2,1224,404,13393.53768
43,Acton Central,Dalston Kingsland,5,1224,2091,17008.28683
44,Acton Central,Denmark Hill,0,1224,2612,19358.21418
45,Acton Central,Edmonton Green,0,1224,783,24977.43156
46,Acton Central,Euston,17,1224,16800,11674.64389
47,Acton Central,Finchley Road & Frognal,52,1224,1529,7919.322286
48,Acton Central,Gospel Oak,18,1224,2025,10278.41603
49,Acton Central,Gunnersbury,102,1224,4775,2169.36665
50,Acton Central,Hackney Central,10,1224,2440,18298.04308
51,Acton Central,Hackney Wick,5,1224,1263,20677.00901
52,Acton Central,Haggerston,2,1224,1184,17998.98543
53,Acton Central,Hampstead Heath,59,1224,2792,9339.855434
54,Acton Central,Harlesden,0,1224,1668,4209.698813
55,Acton Central,Harringay Green Lanes,3,1224,544,14900.11548
56,Acton Central,Harrow & Wealdstone,3,1224,1335,12874.2889
57,Acton Central,Hatch End,0,1224,93,15871.35296
58,Acton Central,Headstone Lane,4,1224,310,14725.20312
59,Acton Central,Highams Park,0,1224,390,24555.91955
60,Acton Central,Highbury & Islington,49,1224,25385,14845.99872
61,Acton Central,Homerton,3,1224,1998,19333.65862
62,Acton Central,Hoxton,4,1224,2181,18833.56407
63,Acton Central,Kensal Green,0,1224,472,4417.714509
64,Acton Central,Kensal Rise,39,1224,1376,4694.709416
65,Acton Central,Kentish Town West,54,1224,1128,11369.57546
66,Acton Central,Kenton,2,1224,768,11093.6169
67,Acton Central,Kew Gardens,18,1224,792,3949.647569
68,Acton Central,Kilburn High Road,0,1224,266,6866.843319
69,Acton Central,Leyton Midland Road,0,1224,445,22254.74158
70,Acton Central,Leytonstone High Road,0,1224,314,23468.83859
71,Acton Central,New Cross,1,1224,1027,22156.95578
72,Acton Central,New Cross Gate,0,1224,1340,21921.72685
73,Acton Central,North Wembley,0,1224,365,8770.902499
74,Acton Central,Queen's Park,0,1224,2167,5802.34017
75,Acton Central,Richmond,318,1224,5397,6117.810833
76,Acton Central,Shadwell,0,1224,7447,18658.14124
77,Acton Central,Shoreditch High Street,4,1224,7558,19123.31924
78,Acton Central,South Acton,7,1224,975,1152.52727
79,Acton Central,South Hampstead,3,1224,236,7843.198707
80,Acton Central,South Kenton,0,1224,261,9706.647669
81,Acton Central,South Tottenham,0,1224,552,16758.88057
82,Acton Central,Stonebridge Park,0,1224,729,5704.64759
83,Acton Central,Stratford,11,1224,55954,22249.93228
84,Acton Central,Surrey Quays,0,1224,1005,19839.95826
85,Acton Central,Upper Holloway,4,1224,898,12178.64134
86,Acton Central,Watford High Street,3,1224,790,21591.92398
87,Acton Central,Watford Junction,5,1224,1367,22997.96152
88,Acton Central,Wembley Central,1,1224,1327,7422.746057
89,Acton Central,West Hampstead,141,1224,5856,7288.664757
90,Acton Central,White Hart Lane,0,1224,641,22579.05553
91,Acton Central,Whitechapel,1,1224,17633,17927.4978
92,Acton Central,Willesden Junction,90,1224,4165,3065.465621
93,Acton Central,Woodgrange Park,0,1224,242,26708.91669
94,Acton Town,Aldgate,3,3745,7782,16944.05182
95,Acton Town,Aldgate East,17,3745,7932,17186.099
96,Acton Town,Alperton,35,3745,741,4973.087944
97,Acton Town,Amersham,0,3745,256,37455.59219
98,Acton Town,Angel,11,3745,8103,15763.97266
99,Acton Town,Archway,1,3745,2193,18217.62569
100,Acton Town,Arnos Grove,1,3745,748,25901.39259
101,Acton Town,Arsenal,0,3745,315,17900.36088
102,Acton Town,Baker Street,19,3745,14973,12097.39559
103,Acton Town,Balham,0,3745,3814,18527.83949
104,Acton Town,Bank and Monument,66,3745,78549,15507.13458
105,Acton Town,Barbican,9,3745,9134,16902.56232
106,Acton Town,Barking,1,3745,7004,29078.27214
107,Acton Town,Barkingside,0,3745,262,34636.17643
108,Acton Town,Barons Court,84,3745,2956,5270.531026
109,Acton Town,Bayswater,3,3745,615,9786.882979
110,Acton Town,Becontree,0,3745,456,32372.72453
111,Acton Town,Belsize Park,0,3745,2255,17213.40101
112,Acton Town,Bermondsey,6,3745,3172,16806.78269
113,Acton Town,Bethnal Green,2,3745,4660,18756.92926
114,Acton Town,Blackfriars,39,3745,10849,14337.84214
115,Acton Town,Blackhorse Road,0,3745,2955,24646.74686
116,Acton Town,Bond Street,27,3745,20967,12250.3543
117,Acton Town,Borough,1,3745,3254,15233.55001
118,Acton Town,Boston Manor,62,3745,892,3511.73665
119,Acton Town,Bounds Green,1,3745,778,24547.1501
120,Acton Town,Bow Road,1,3745,1193,20883.8018
121,Acton Town,Brixton,16,3745,5084,16094.56482
122,Acton Town,Bromley-by-Bow,2,3745,1613,21892.57171
123,Acton Town,Burnt Oak,0,3745,649,26884.7619
124,Acton Town,Caledonian Road,2,3745,1803,16618.3543
125,Acton Town,Camden Town,3,3745,6348,15181.52293
126,Acton Town,Canada Water,11,3745,20443,17796.29961
127,Acton Town,Canary Wharf,57,3745,58772,20398.16588
128,Acton Town,Canning Town,3,3745,15428,22942.35449
129,Acton Town,Cannon Street,18,3745,4698,15246.28514
130,Acton Town,Canons Park,0,3745,526,24459.58029
131,Acton Town,Chalfont & Latimer,0,3745,554,34069.93205
132,Acton Town,Chalk Farm,0,3745,1329,16175.30007
133,Acton Town,Chancery Lane,20,3745,15391,13817.71507
134,Acton Town,Charing Cross,5,3745,7016,12450.87652
135,Acton Town,Chiswick Park,20,3745,1517,1274.944807
136,Acton Town,Chorleywood,1,3745,702,30557.07875
137,Acton Town,Clapham Common,3,3745,2020,16102.88665
138,Acton Town,Clapham North,1,3745,1238,15460.12916
139,Acton Town,Clapham South,2,3745,1513,17355.20489
140,Acton Town,Cockfosters,0,3745,262,31090.16438
141,Acton Town,Colindale,0,3745,2081,25578.33985
142,Acton Town,Colliers Wood,0,3745,865,21858.38603
143,Acton Town,Covent Garden,44,3745,4355,12619.29078
144,Acton Town,Croxley,0,3745,340,26518.6567
145,Acton Town,Dagenham East,0,3745,649,35080.15309
146,Acton Town,Dagenham Heathway,0,3745,1108,33800.9253
147,Acton Town,Dollis Hill,0,3745,847,16674.68055
148,Acton Town,Ealing Broadway,107,3745,4846,2591.919912
149,Acton Town,Ealing Common,13,3745,915,1026.622829
150,Acton Town,Earl's Court,129,3745,6613,6775.329091
151,Acton Town,East Acton,2,3745,1505,7200.83617
152,Acton Town,East Finchley,0,3745,1253,21556.85114
153,Acton Town,East Ham,1,3745,2062,26655.97721
154,Acton Town,East Putney,13,3745,1877,11040.84643
155,Acton Town,Eastcote,2,3745,364,13360.87858
156,Acton Town,Edgware,1,3745,772,28402.89158
157,Acton Town,Edgware Road,12,3745,6868,11062.55523
158,Acton Town,Elephant & Castle,20,3745,6427,14533.58947
159,Acton Town,Embankment,16,3745,10220,12791.20734
160,Acton Town,Euston,14,3745,16800,13807.92412
161,Acton Town,Euston Square,3,3745,8093,13544.17526
162,Acton Town,Farringdon,19,3745,25592,16441.65237
163,Acton Town,Finchley Central,1,3745,1921,23927.40769
164,Acton Town,Finchley Road,0,3745,3417,13983.62615
165,Acton Town,Finsbury Park,7,3745,6769,18673.11357
166,Acton Town,Fulham Broadway,41,3745,4200,8285.48016
167,Acton Town,Gants Hill,0,3745,601,31147.86489
168,Acton Town,Gloucester Road,62,3745,5194,7685.450305
169,Acton Town,Golders Green,1,3745,1871,20777.13002
170,Acton Town,Goldhawk Road,0,3745,370,5382.288275
171,Acton Town,Goodge Street,14,3745,6457,13484.17222
172,Acton Town,Great Portland Street,10,3745,6936,12924.21504
173,Acton Town,Green Park,79,3745,26754,11101.44199
174,Acton Town,Greenford,2,3745,1157,12300.93054
175,Acton Town,Gunnersbury,0,3745,4775,3769.860221
176,Acton Town,Hammersmith,391,3745,18250,4376.69894
177,Acton Town,Hampstead,0,3745,2010,18391.40412
178,Acton Town,Harrow-on-the-Hill,6,3745,3019,14147.50533
179,Acton Town,Hatton Cross,62,3745,1219,12068.28735
180,Acton Town,Heathrow Terminal 4,10,3745,693,13944.62004
181,Acton Town,Heathrow Terminal 5,18,3745,975,16936.31677
182,Acton Town,Heathrow Terminals 2 & 3,44,3745,2406,14481.0383
183,Acton Town,Hendon Central,0,3745,1878,23425.82647
184,Acton Town,High Street Kensington,16,3745,5427,8076.189203
185,Acton Town,Highbury & Islington,4,3745,25385,17165.50695
186,Acton Town,Highgate,1,3745,856,19807.83048
187,Acton Town,Hillingdon,0,3745,318,18076.09579
188,Acton Town,Holborn,117,3745,22346,13252.23135
189,Acton Town,Holland Park,0,3745,2063,9736.568201
190,Acton Town,Holloway Road,7,3745,1696,17233.65175
191,Acton Town,Hounslow Central,42,3745,708,7785.729997
192,Acton Town,Hounslow East,55,3745,843,7040.045614
193,Acton Town,Hounslow West,20,3745,401,9264.813689
194,Acton Town,Hyde Park Corner,34,3745,2410,10321.55269
195,Acton Town,Ickenham,0,3745,282,16951.6586
196,Acton Town,Kennington,2,3745,1161,14724.37865
197,Acton Town,Kentish Town,1,3745,3404,16459.48857
198,Acton Town,Kew Gardens,4,3745,792,5550.14114
199,Acton Town,Kilburn,0,3745,1953,14243.51324
200,Acton Town,King's Cross St. Pancras,64,3745,33330,14583.65394
201,Acton Town,Kingsbury,0,3745,1018,21520.27771
202,Acton Town,Knightsbridge,64,3745,6821,9737.599103
203,Acton Town,Ladbroke Grove,9,3745,2131,7561.283263
204,Acton Town,Lambeth North,6,3745,1319,13537.86919
205,Acton Town,Lancaster Gate,1,3745,1820,10533.30729
206,Acton Town,Latimer Road,6,3745,1109,6901.702729
207,Acton Town,Leicester Square,52,3745,8847,12253.75948
208,Acton Town,Leyton,0,3745,1447,25178.44146
209,Acton Town,Leytonstone,0,3745,1844,26842.28502
210,Acton Town,Liverpool Street,55,3745,61122,16348.63726
211,Acton Town,London Bridge,39,3745,29930,14718.95615
212,Acton Town,Manor House,1,3745,1311,19789.2272
213,Acton Town,Mansion House,41,3745,7815,14998.10644
214,Acton Town,Marble Arch,1,3745,6145,11751.90947
215,Acton Town,Marylebone,1,3745,4250,11665.43857
216,Acton Town,Mile End,3,3745,3759,20258.86963
217,Acton Town,Mill Hill East,2,3745,681,25449.61013
218,Acton Town,Moorgate,14,3745,24574,16283.96404
219,Acton Town,Morden,0,3745,1447,24470.10048
220,Acton Town,Mornington Crescent,5,3745,2927,14591.31271
221,Acton Town,Newbury Park,0,3745,559,33505.62201
222,Acton Town,North Acton,3,3745,3168,6020.316854
223,Acton Town,North Ealing,20,3745,332,1951.031283
224,Acton Town,North Greenwich,13,3745,6276,22227.94917
225,Acton Town,Northfields,30,3745,864,2580.884505
226,Acton Town,Northolt,1,3745,663,14119.3968
227,Acton Town,Northwick Park,3,3745,1713,15450.63719
228,Acton Town,Northwood,2,3745,1018,21390.20694
229,Acton Town,Northwood Hills,1,3745,488,19803.53806
230,Acton Town,Notting Hill Gate,7,3745,5490,9036.834738
231,Acton Town,Oakwood,0,3745,423,29746.18603
232,Acton Town,Old Street,28,3745,15897,17137.48376
233,Acton Town,Osterley,22,3745,521,6072.550941
234,Acton Town,Oval,1,3745,2544,15639.53633
235,Acton Town,Oxford Circus,38,3745,44368,12112.00847
236,Acton Town,Paddington,31,3745,20198,10273.92395
237,Acton Town,Park Royal,39,3745,1552,3050.689734
238,Acton Town,Parsons Green,29,3745,2711,8987.818491
239,Acton Town,Perivale,1,3745,532,10704.49542
240,Acton Town,Piccadilly Circus,85,3745,13641,11879.06808
241,Acton Town,Pimlico,10,3745,5585,12175.64332
242,Acton Town,Pinner,0,3745,292,17644.88947
243,Acton Town,Plaistow,2,3745,1049,24034.65274
244,Acton Town,Preston Road,0,3745,411,17183.77099
245,Acton Town,Putney Bridge,21,3745,2494,9982.28084
246,Acton Town,Queensbury,0,3745,439,22766.27295
247,Acton Town,Ravenscourt Park,43,3745,1895,3542.120988
248,Acton Town,Rayners Lane,4,3745,426,11541.52421
249,Acton Town,Redbridge,0,3745,198,29690.12112
250,Acton Town,Regent's Park,10,3745,3364,12892.93564
251,Acton Town,Richmond,33,3745,5397,7718.304404
252,Acton Town,Rickmansworth,0,3745,937,27005.72551
253,Acton Town,Royal Oak,9,3745,856,9336.627437
254,Acton Town,Ruislip,1,3745,257,15166.00362
255,Acton Town,Ruislip Manor,0,3745,408,14487.11764
256,Acton Town,Russell Square,44,3745,5172,13958.66567
257,Acton Town,Seven Sisters,6,3745,10191,22079.00196
258,Acton Town,Shepherd's Bush,0,3745,9890,9320.750406
259,Acton Town,Shepherd's Bush Market,1,3745,416,5821.577698
260,Acton Town,Sloane Square,34,3745,8229,9610.006156
261,Acton Town,South Ealing,21,3745,670,2127.939214
262,Acton Town,South Harrow,12,3745,387,9735.9675
263,Acton Town,South Kensington,131,3745,15325,8436.783785
264,Acton Town,South Ruislip,0,3745,289,16443.38732
265,Acton Town,South Woodford,0,3745,766,29816.25637
266,Acton Town,Southfields,15,3745,1351,12671.73453
267,Acton Town,Southgate,1,3745,874,27880.54118
268,Acton Town,Southwark,32,3745,10326,13620.60706
269,Acton Town,St. James's Park,64,3745,13339,11553.07077
270,Acton Town,St. John's Wood,2,3745,3982,14236.32569
271,Acton Town,St. Paul's,27,3745,13446,14912.86626
272,Acton Town,Stamford Brook,13,3745,784,2832.831434
273,Acton Town,Stepney Green,2,3745,1879,19229.59726
274,Acton Town,Stockwell,2,3745,1623,14507.82728
275,Acton Town,Stratford,10,3745,55954,23047.09853
276,Acton Town,Sudbury Hill,15,3745,277,8250.501841
277,Acton Town,Sudbury Town,13,3745,218,6633.445226
278,Acton Town,Swiss Cottage,3,3745,2598,14628.9789
279,Acton Town,Temple,15,3745,6780,13585.80134
280,Acton Town,Tooting Bec,1,3745,1239,19503.00491
281,Acton Town,Tooting Broadway,3,3745,4506,20577.96635
282,Acton Town,Tottenham Court Road,10,3745,19126,12839.69985
283,Acton Town,Tottenham Hale,4,3745,3239,23232.54113
284,Acton Town,Totteridge & Whetstone,1,3745,287,27587.77468
285,Acton Town,Tower Hill,28,3745,8286,16346.86502
286,Acton Town,Tufnell Park,1,3745,557,17224.08958
287,Acton Town,Turnham Green,20,3745,1515,2222.542223
288,Acton Town,Turnpike Lane,3,3745,992,22110.88656
289,Acton Town,Upminster,0,3745,1132,41457.98078
290,Acton Town,Upney,0,3745,485,30445.56762
291,Acton Town,Upton Park,0,3745,1642,25355.73139
292,Acton Town,Uxbridge,41,3745,4316,20220.49092
293,Acton Town,Vauxhall,21,3745,16242,13000.97157
294,Acton Town,Victoria,53,3745,33251,10775.76517
295,Acton Town,Walthamstow Central,1,3745,5271,26205.81061
296,Acton Town,Warren Street,25,3745,17309,13261.72291
297,Acton Town,Waterloo,32,3745,23466,12964.18013
298,Acton Town,Watford,1,3745,961,28573.53523
299,Acton Town,Wembley Park,1,3745,5759,18603.50616
300,Acton Town,West Acton,3,3745,488,4208.822079
301,Acton Town,West Brompton,17,3745,5859,7342.718283
302,Acton Town,West Ham,0,3745,5487,23104.81725
303,Acton Town,West Hampstead,1,3745,5856,13227.89163
304,Acton Town,West Harrow,0,3745,122,12905.63664
305,Acton Town,West Kensington,14,3745,1345,5834.207171
306,Acton Town,Westbourne Park,9,3745,1347,8367.223191
307,Acton Town,Westminster,33,3745,15466,12113.82011
308,Acton Town,White City,3,3745,5966,9158.020686
309,Acton Town,Whitechapel,10,3745,17633,18149.43307
310,Acton Town,Willesden Green,0,3745,830,15428.57117
311,Acton Town,Wimbledon,77,3745,6295,15687.29656
312,Acton Town,Wimbledon Park,3,3745,596,14031.3843
313,Acton Town,Wood Green,6,3745,2146,23041.71219
314,Acton Town,Wood Lane,9,3745,1578,6347.840653
315,Acton Town,Woodford,0,3745,706,31528.21129
316,Acton Town,Woodside Park,0,3745,745,26110.67298
317,Aldgate,Acton Town,0,2886,2202,16944.05182
318,Aldgate,Aldgate East,0,2886,7932,1436.420782
319,Aldgate,Amersham,0,2886,256,45233.72548
320,Aldgate,Angel,17,2886,8103,3530.34601
321,Aldgate,Archway,2,2886,2193,9455.439525
322,Aldgate,Arnos Grove,0,2886,748,15500.10693
323,Aldgate,Arsenal,2,2886,315,7499.075222
324,Aldgate,Baker Street,167,2886,14973,6668.626621
325,Aldgate,Balham,0,2886,3814,10718.14245
326,Aldgate,Bank and Monument,5,2886,78549,1436.91724
327,Aldgate,Barbican,221,2886,9134,1863.459897
328,Aldgate,Barking,0,2886,7004,13328.59392
329,Aldgate,Barkingside,0,2886,262,18903.2707
330,Aldgate,Barons Court,0,2886,2956,11673.52079
331,Aldgate,Bayswater,1,2886,615,10321.34073
332,Aldgate,Belsize Park,1,2886,2255,8451.214849
333,Aldgate,Bermondsey,0,2886,3172,4411.47215
334,Aldgate,Bethnal Green,0,2886,4660,3130.376084
335,Aldgate,Blackfriars,11,2886,10849,2674.672959
336,Aldgate,Blackhorse Road,2,2886,2955,12663.30688
337,Aldgate,Bond Street,13,2886,20967,6172.781519
338,Aldgate,Borough,1,2886,3254,2838.239479
339,Aldgate,Boston Manor,0,2886,892,20455.78847
340,Aldgate,Bounds Green,2,2886,778,14145.86444
341,Aldgate,Bow Road,0,2886,1193,5134.123577
342,Aldgate,Brent Cross,0,2886,450,13530.03296
343,Aldgate,Brixton,2,2886,5084,8284.867784
344,Aldgate,Buckhurst Hill,0,2886,228,18128.9149
345,Aldgate,Burnt Oak,0,2886,649,18122.57573
346,Aldgate,Caledonian Road,10,2886,1803,6217.068644
347,Aldgate,Camden Town,8,2886,6348,6419.336762
348,Aldgate,Canada Water,0,2886,20443,5238.687753
349,Aldgate,Canary Wharf,1,2886,58772,6564.41968
350,Aldgate,Canning Town,0,2886,15428,8612.217163
351,Aldgate,Cannon Street,4,2886,4698,1766.229956
352,Aldgate,Canons Park,2,2886,526,23325.71193
353,Aldgate,Chalfont & Latimer,1,2886,554,41848.06533
354,Aldgate,Chalk Farm,1,2886,1329,7413.113909
355,Aldgate,Chancery Lane,5,2886,15391,3381.593278
356,Aldgate,Charing Cross,0,2886,7016,4561.638581
357,Aldgate,Chesham,0,2886,243,48164.00172
358,Aldgate,Chigwell,0,2886,148,19376.39506
359,Aldgate,Chorleywood,0,2886,702,38335.21204
360,Aldgate,Clapham Common,0,2886,2020,8293.189613
361,Aldgate,Clapham North,0,2886,1238,7650.432122
362,Aldgate,Clapham South,1,2886,1513,9545.507846
363,Aldgate,Cockfosters,1,2886,262,20688.87872
364,Aldgate,Colindale,4,2886,2081,16816.15368
365,Aldgate,Colliers Wood,0,2886,865,14048.68899
366,Aldgate,Covent Garden,2,2886,4355,4580.017562
367,Aldgate,Croxley,0,2886,340,34296.78999
368,Aldgate,Debden,0,2886,865,22016.5064
369,Aldgate,Dollis Hill,4,2886,847,14405.78731
370,Aldgate,Ealing Broadway,0,2886,4846,19049.30724
371,Aldgate,Ealing Common,0,2886,915,17970.67465
372,Aldgate,Earl's Court,2,2886,6613,10168.72272
373,Aldgate,East Acton,4,2886,1505,14440.39098
374,Aldgate,East Finchley,0,2886,1253,12794.66498
375,Aldgate,East Ham,0,2886,2062,10906.29899
376,Aldgate,East Putney,0,2886,1877,14434.24006
377,Aldgate,Eastcote,2,2886,364,26350.97412
378,Aldgate,Edgware,0,2886,772,19640.70541
379,Aldgate,Edgware Road,25,2886,6868,7703.466989
380,Aldgate,Elephant & Castle,1,2886,6427,3659.379631
381,Aldgate,Embankment,14,2886,10220,4221.307761
382,Aldgate,Epping,0,2886,498,27964.10124
383,Aldgate,Euston,4,2886,16800,5045.737952
384,Aldgate,Euston Square,353,2886,8093,5221.846958
385,Aldgate,Fairlop,0,2886,182,20072.00054
386,Aldgate,Farringdon,677,2886,25592,2324.369841
387,Aldgate,Finchley Central,1,2886,1921,15165.22152
388,Aldgate,Finchley Road,30,2886,3417,10203.26387
389,Aldgate,Finsbury Park,8,2886,6769,8271.827916
390,Aldgate,Fulham Broadway,0,2886,4200,11678.87379
391,Aldgate,Gants Hill,0,2886,601,15414.95916
392,Aldgate,Gloucester Road,0,2886,5194,9258.601511
393,Aldgate,Golders Green,1,2886,1871,12014.94386
394,Aldgate,Goldhawk Road,0,2886,370,13383.73394
395,Aldgate,Goodge Street,0,2886,6457,5388.611018
396,Aldgate,Great Portland Street,228,2886,6936,5841.807176
397,Aldgate,Green Park,3,2886,26754,5911.073108
398,Aldgate,Greenford,0,2886,1157,21901.52399
399,Aldgate,Gunnersbury,0,2886,4775,16268.82759
400,Aldgate,Hainault,1,2886,356,20950.6841
401,Aldgate,Hammersmith,2,2886,18250,12567.35288
402,Aldgate,Hampstead,2,2886,2010,9629.217953
403,Aldgate,Hanger Lane,0,2886,1493,18075.20365
404,Aldgate,Harlesden,1,2886,1668,14799.14941
405,Aldgate,Harrow & Wealdstone,0,2886,1335,23463.7395
406,Aldgate,Harrow-on-the-Hill,22,2886,3019,21925.63862
407,Aldgate,Hatton Cross,0,2886,1219,29012.33917
408,Aldgate,Heathrow Terminal 4,0,2886,693,30888.67186
409,Aldgate,Heathrow Terminal 5,1,2886,975,33880.36859
410,Aldgate,Heathrow Terminals 2 & 3,3,2886,2406,31425.09011
411,Aldgate,Hendon Central,2,2886,1878,14663.64031
412,Aldgate,High Barnet,0,2886,953,21418.21902
413,Aldgate,High Street Kensington,18,2886,5427,10263.7203
414,Aldgate,Highbury & Islington,1,2886,25385,6764.221288
415,Aldgate,Highgate,1,2886,856,11045.64432
416,Aldgate,Hillingdon,1,2886,318,31066.19133
417,Aldgate,Holborn,19,2886,22346,3947.076991
418,Aldgate,Holland Park,3,2886,2063,10271.02595
419,Aldgate,Holloway Road,8,2886,1696,6832.366087
420,Aldgate,Hounslow Central,0,2886,708,24729.78181
421,Aldgate,Hounslow East,0,2886,843,23984.09743
422,Aldgate,Hounslow West,0,2886,401,26208.86551
423,Aldgate,Hyde Park Corner,1,2886,2410,6690.962408
424,Aldgate,Ickenham,0,2886,282,29941.75414
425,Aldgate,Kennington,0,2886,1161,4498.94802
426,Aldgate,Kensal Green,0,2886,472,12302.66733
427,Aldgate,Kentish Town,1,2886,3404,7697.302405
428,Aldgate,Kew Gardens,0,2886,792,18049.10851
429,Aldgate,Kilburn,1,2886,1953,11974.62
430,Aldgate,Kilburn Park,1,2886,823,11064.1183
431,Aldgate,King's Cross St. Pancras,351,2886,33330,4182.368278
432,Aldgate,Kingsbury,2,2886,1018,20386.40935
433,Aldgate,Knightsbridge,1,2886,6821,7274.915996
434,Aldgate,Ladbroke Grove,9,2886,2131,11204.73895
435,Aldgate,Lambeth North,0,2886,1319,4553.56074
436,Aldgate,Lancaster Gate,0,2886,1820,8074.819939
437,Aldgate,Latimer Road,4,2886,1109,11864.31949
438,Aldgate,Leicester Square,1,2886,8847,4945.548861
439,Aldgate,Leyton,0,2886,1447,9445.535729
440,Aldgate,Leytonstone,0,2886,1844,11109.37929
441,Aldgate,Liverpool Street,67,2886,61122,722.084082
442,Aldgate,London Bridge,2,2886,29930,2323.645612
443,Aldgate,Loughton,0,2886,655,19964.38931
444,Aldgate,Maida Vale,2,2886,949,10212.33678
445,Aldgate,Manor House,6,2886,1311,9387.941543
446,Aldgate,Mansion House,5,2886,7815,2014.408663
447,Aldgate,Marble Arch,5,2886,6145,6856.217754
448,Aldgate,Marylebone,3,2886,4250,7206.924947
449,Aldgate,Mile End,0,2886,3759,4509.191411
450,Aldgate,Mill Hill East,0,2886,681,16687.42397
451,Aldgate,Moor Park,0,2886,550,31386.63934
452,Aldgate,Moorgate,112,2886,24574,1156.171531
453,Aldgate,Morden,0,2886,1447,16660.40344
454,Aldgate,Mornington Crescent,0,2886,2927,5829.126549
455,Aldgate,Neasden,1,2886,732,15191.37033
456,Aldgate,Newbury Park,0,2886,559,17772.71628
457,Aldgate,North Acton,1,2886,3168,15620.9103
458,Aldgate,North Greenwich,0,2886,6276,8394.202971
459,Aldgate,North Harrow,2,2886,190,23905.26734
460,Aldgate,North Wembley,0,2886,365,19360.3531
461,Aldgate,Northfields,0,2886,864,19524.93632
462,Aldgate,Northolt,0,2886,663,23719.99025
463,Aldgate,Northwick Park,20,2886,1713,20622.50676
464,Aldgate,Northwood,2,2886,1018,29168.34023
465,Aldgate,Northwood Hills,1,2886,488,27581.67134
466,Aldgate,Notting Hill Gate,7,2886,5490,9571.292491
467,Aldgate,Oakwood,0,2886,423,19344.90037
468,Aldgate,Old Street,8,2886,15897,2009.691249
469,Aldgate,Osterley,0,2886,521,23016.60276
470,Aldgate,Oval,1,2886,2544,5414.105705
471,Aldgate,Oxford Circus,15,2886,44368,5618.440954
472,Aldgate,Paddington,73,2886,20198,8492.098266
473,Aldgate,Parsons Green,0,2886,2711,12381.21212
474,Aldgate,Perivale,0,2886,532,20305.08886
475,Aldgate,Piccadilly Circus,4,2886,13641,5133.447021
476,Aldgate,Pimlico,0,2886,5585,7568.164798
477,Aldgate,Pinner,1,2886,292,25423.02275
478,Aldgate,Plaistow,0,2886,1049,8284.974523
479,Aldgate,Preston Road,5,2886,411,18889.37296
480,Aldgate,Putney Bridge,0,2886,2494,13375.67447
481,Aldgate,Queen's Park,4,2886,2167,10918.04167
482,Aldgate,Queensbury,0,2886,439,21632.40459
483,Aldgate,Queensway,0,2886,1882,8932.96956
484,Aldgate,Rayners Lane,1,2886,426,24531.61975
485,Aldgate,Redbridge,0,2886,198,13957.2154
486,Aldgate,Richmond,0,2886,5397,20217.27177
487,Aldgate,Rickmansworth,3,2886,937,34783.8588
488,Aldgate,Royal Oak,3,2886,856,9429.394778
489,Aldgate,Ruislip,1,2886,257,28156.09916
